id,firstDate,lastDate,catHosp,status,ward_id,wardType,newID
018-0031-G-J,2020-05-18,2020-05-18,logistic,PE,18,Geriatry,Geriatry #1
018-0032-D-M,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0033-T-F,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0034-H-Z,2020-05-18,2020-05-18,logistic,PE,18,Geriatry,Geriatry #1
018-0035-G-L,2020-05-18,2020-05-18,other,PE,18,Geriatry,Geriatry #1
018-0036-J-M,2020-05-18,2020-05-18,reeducation staff,PE,18,Geriatry,Geriatry #1
018-0037-R-P,2020-05-18,2020-05-18,other,PE,18,Geriatry,Geriatry #1
018-0038-R-C,2020-05-18,2020-05-18,reeducation staff,PE,18,Geriatry,Geriatry #1
018-0039-H-N,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0040-T-B,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0041-S-C,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0042-M-T,2020-05-18,2020-05-18,other,PE,18,Geriatry,Geriatry #1
018-0043-T-G,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0044-O-B,2020-05-18,2020-05-18,student nurse,PE,18,Geriatry,Geriatry #1
018-0045-S-F,2020-05-18,2020-05-18,logistic,PE,18,Geriatry,Geriatry #1
018-0046-D-F,2020-05-18,2020-05-18,reeducation staff,PE,18,Geriatry,Geriatry #1
018-0047-D-E,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0048-R-S,2020-05-18,2020-05-18,other,PE,18,Geriatry,Geriatry #1
018-0049-S-T,2020-05-18,2020-05-18,logistic,PE,18,Geriatry,Geriatry #1
018-0050-V-S,2020-05-18,2020-05-18,physician,PE,18,Geriatry,Geriatry #1
018-0051-M-N,2020-05-18,2020-05-18,administration,PE,18,Geriatry,Geriatry #1
018-0052-F-I,2020-05-18,2020-05-18,administration,PE,18,Geriatry,Geriatry #1
018-0053-R-E,2020-05-18,2020-05-18,administration,PE,18,Geriatry,Geriatry #1
018-0054-L-M,2020-05-18,2020-05-18,administration,PE,18,Geriatry,Geriatry #1
018-0055-M-L,2020-05-18,2020-05-18,other,PE,18,Geriatry,Geriatry #1
018-0056-G-B,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0057-L-H,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0058-A-A,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0059-N-F,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0060-G-A,2020-05-18,2020-05-18,investigation,PE,18,Geriatry,Geriatry #1
018-0061-T-S,2020-05-18,2020-05-18,visitor,V,18,Geriatry,Geriatry #1
018-0062-G-M,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0063-&-&,2020-05-18,2020-05-18,administration,PE,18,Geriatry,Geriatry #1
018-0064-M-S,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0065-D-M,2020-05-18,2020-05-18,visitor,V,18,Geriatry,Geriatry #1
018-0066-B-A,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0067-A-N,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0068-L-N,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0069-T-N,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0070-A-S,2020-05-19,2020-05-19,student nurse,PE,18,Geriatry,Geriatry #1
018-0071-C-P,2020-05-19,2020-05-19,nurse,PE,18,Geriatry,Geriatry #1
018-0072-P-C,2020-05-19,2020-05-19,aux nurse,PE,18,Geriatry,Geriatry #1
018-0073-J-S,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0074-A-S,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0075-&-&,2020-05-19,2020-05-19,aux nurse,PE,18,Geriatry,Geriatry #1
018-0076-K-C,2020-05-18,2020-05-18,aux nurse,PE,18,Geriatry,Geriatry #1
018-0077-D-S,2020-05-19,2020-05-19,aux nurse,PE,18,Geriatry,Geriatry #1
018-0078-C-M,2020-05-19,2020-05-19,ext physician,PE,18,Geriatry,Geriatry #1
018-0079-W-A,2020-05-19,2020-05-19,logistic,PE,18,Geriatry,Geriatry #1
018-0080-R-D,2020-05-19,2020-05-19,other,PE,18,Geriatry,Geriatry #1
018-0081-E-M,2020-05-19,2020-05-19,other,PE,18,Geriatry,Geriatry #1
018-0082-D-M,2020-05-19,2020-05-19,administration,PE,18,Geriatry,Geriatry #1
018-0083-R-S,2020-05-19,2020-05-19,aux nurse,PE,18,Geriatry,Geriatry #1
018-0084-G-C,2020-05-18,2020-05-18,nurse,PE,18,Geriatry,Geriatry #1
018-0085-G-Y,2020-05-19,2020-05-19,other,PE,18,Geriatry,Geriatry #1
018-0086-B-M,2020-05-19,2020-05-19,aux nurse,PE,18,Geriatry,Geriatry #1
018-0087-S-S,2020-05-19,2020-05-19,logistic,PE,18,Geriatry,Geriatry #1
018-0088-H-S,2020-05-19,2020-05-19,logistic,PE,18,Geriatry,Geriatry #1
018-0089-G-F,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0090-B-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0091-B-H,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0092-L-C,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0093-C-L,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0094-B-F,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0095-B-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0096-S-R,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0097-C-R,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0098-B-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0099-N-B,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0100-R-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0101-M-C,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0102-T-E,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0103-B-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0104-M-A,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0105-B-M,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0106-T-R,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0107-O-M,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0108-O-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0109-Y-A,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0110-M-M,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0111-H-B,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0112-M-L,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0113-D-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0114-L-S,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0115-M-Y,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0116-P-E,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0117-N-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0118-R-C,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0119-M-S,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0120-B-E,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0121-R-B,2020-05-19,2020-05-19,patient,PA,18,Geriatry,Geriatry #1
018-0122-M-C,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0123-P-G,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0124-A-M,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0125-A-J,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0126-C-D,2020-05-19,2020-05-19,patient,PA,18,Geriatry,Geriatry #1
018-0127-M-R,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0128-V-Y,2020-05-18,2020-05-18,patient,PA,18,Geriatry,Geriatry #1
018-0129-D-A,2020-05-19,2020-05-19,logistic,PE,18,Geriatry,Geriatry #1
018-0130-G-L,2020-05-19,2020-05-19,administration,PE,18,Geriatry,Geriatry #1
018-0131-A-D,2020-05-19,2020-05-19,patient,PA,18,Geriatry,Geriatry #1
018-0132-B-C,2020-05-19,2020-05-19,physician,PE,18,Geriatry,Geriatry #1
018-0133-D-M,2020-05-19,2020-05-19,logistic,PE,18,Geriatry,Geriatry #1
018-0134-H-M,2020-05-19,2020-05-19,logistic,PE,18,Geriatry,Geriatry #1
018-0135-N-M,2020-05-19,2020-05-19,aux nurse,PE,18,Geriatry,Geriatry #1
018-0136-T-Y,2020-05-19,2020-05-19,aux nurse,PE,18,Geriatry,Geriatry #1
014-0001-D-C,2020-05-21,2020-05-21,nurse,PE,14,Pediatric emergency,Paediatric emergency
014-0002-Q-L,2020-05-21,2020-05-21,nurse,PE,14,Pediatric emergency,Paediatric emergency
014-0003-C-G,2020-05-21,2020-05-21,physician,PE,14,Pediatric emergency,Paediatric emergency
014-0004-B-A,2020-05-21,2020-05-21,aux nurse,PE,14,Pediatric emergency,Paediatric emergency
014-0005-V-E,2020-05-21,2020-05-21,nurse,PE,14,Pediatric emergency,Paediatric emergency
014-0006-M-C,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0007-M-A,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0008-B-M,2020-05-21,2020-05-21,physician,PE,14,Pediatric emergency,Paediatric emergency
014-0009-&-&,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0010-&-&,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0011-C-A,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0012-D-L,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0013-D-L,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0014-F-A,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0015-P-R,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0016-P-E,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0017-V-G,2020-05-21,2020-05-21,physician,PE,14,Pediatric emergency,Paediatric emergency
014-0018-F-C,2020-05-21,2020-05-21,physician,PE,14,Pediatric emergency,Paediatric emergency
014-0019-B-M,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0020-B-G,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0021-N-T,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0022-V-L,2020-05-21,2020-05-21,ext physician,PE,14,Pediatric emergency,Paediatric emergency
014-0023-G-G,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0024-F-O,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0025-F-D,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0026-R-M,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0027-N-A,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0028-A-S,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0029-A-A,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0030-C-A,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0031-C-T,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0032-T-C,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0033-C-S,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0034-V-V,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0035-V-C,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0036-C-A,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0037-C-C,2020-05-21,2020-05-21,administration,PE,14,Pediatric emergency,Paediatric emergency
014-0038-D-A,2020-05-21,2020-05-21,physician,PE,14,Pediatric emergency,Paediatric emergency
014-0039-H-O,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0040-&-&,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0041-T-S,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0042-&-&,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0043-N-A,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0044-N-M,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0045-C-N,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0046-&-&,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0047-L-J,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0048-L-J,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0049-B-H,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0050-B-N,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0051-S-D,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0052-S-L,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0053-B-N,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0054-L-V,2020-05-21,2020-05-21,investigation,PE,14,Pediatric emergency,Paediatric emergency
014-0055-B-N,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
009-0001-D-M,2020-04-20,2020-04-20,investigation,PE,9,Pneumology,Pneumology
009-0002-V-A,2020-04-20,2020-04-20,investigation,PE,9,Pneumology,Pneumology
009-0003-T-M,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0004-D-L,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0005-A-A,2020-04-20,2020-04-20,investigation,PE,9,Pneumology,Pneumology
009-0006-S-M,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0007-D-V,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0008-P-G,2020-04-20,2020-04-20,investigation,PE,9,Pneumology,Pneumology
009-0009-G-F,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0010-G-C,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0011-G-M,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0012-C-S,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0013-N-N,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0014-H-R,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0015-L-L,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0016-B-M,2020-04-20,2020-04-20,administration,PE,9,Pneumology,Pneumology
009-0017-R-J,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0018-M-L,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0019-C-A,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0020-B-C,2020-04-20,2020-04-20,student nurse,PE,9,Pneumology,Pneumology
009-0021-P-G,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0022-C-A,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0023-B-K,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0024-K-S,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0025-N-A,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0026-M-C,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0027-D-S,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0028-M-D,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0029-E-D,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0030-C-C,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0031-B-M,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0032-R-A,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0033-H-E,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0034-D-O,2020-04-20,2020-04-20,logistic,PE,9,Pneumology,Pneumology
009-0035-H-S,2020-04-20,2020-04-20,administration,PE,9,Pneumology,Pneumology
009-0036-S-S,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0037-E-F,2020-04-20,2020-04-20,reeducation staff,PE,9,Pneumology,Pneumology
009-0038-L-M,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0039-B-S,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0040-M-C,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0041-S-A,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0042-B-T,2020-04-20,2020-04-20,logistic,PE,9,Pneumology,Pneumology
009-0043-G-L,2020-04-20,2020-04-20,logistic,PE,9,Pneumology,Pneumology
009-0044-S-O,2020-04-20,2020-04-20,logistic,PE,9,Pneumology,Pneumology
009-0045-S-I,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0046-D-G,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0047-A-L,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0048-D-D,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0049-M-J,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0050-S-P,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0051-B-F,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0052-T-E,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0053-R-N,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0054-P-H,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0055-B-H,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0056-L-C,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0057-G-L,2020-04-20,2020-04-20,ext physician,PE,9,Pneumology,Pneumology
009-0058-L-T,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0059-T-P,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0060-H-B,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0061-V-A,2020-04-20,2020-04-20,administration,PE,9,Pneumology,Pneumology
009-0062-B-I,2020-04-20,2020-04-20,administration,PE,9,Pneumology,Pneumology
009-0063-M-J,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0064-M-D,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0065-B-F,2020-04-20,2020-04-20,other,PE,9,Pneumology,Pneumology
009-0066-G-T,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0067-P-M,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0068-T-A,2020-04-20,2020-04-20,other,PE,9,Pneumology,Pneumology
009-0069-R-J,2020-04-20,2020-04-20,other,PE,9,Pneumology,Pneumology
009-0070-B-A,2020-04-20,2020-04-20,physician,PE,9,Pneumology,Pneumology
009-0071-D-M,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0072-C-K,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0073-N-H,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0074-Z-S,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0075-B-M,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0076-J-C,2020-04-20,2020-04-20,other,PE,9,Pneumology,Pneumology
009-0077-Z-O,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0078-R-A,2020-04-20,2020-04-20,nurse,PE,9,Pneumology,Pneumology
009-0079-B-V,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0080-&-&,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
009-0081-&-&,2020-04-20,2020-04-20,other,PE,9,Pneumology,Pneumology
009-0082-D-L,2020-04-20,2020-04-20,logistic,PE,9,Pneumology,Pneumology
009-0083-R-S,2020-04-20,2020-04-20,aux nurse,PE,9,Pneumology,Pneumology
009-0084-K-J,2020-04-20,2020-04-20,patient,PA,9,Pneumology,Pneumology
014-0056-B-A,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0057-C-E,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0058-C-A,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0059-M-J,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0060-M-I,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0061-P-N,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0062-P-A,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0063-N-N,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0064-N-D,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0065-K-N,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0066-H-M,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0067-D-N,2020-05-21,2020-05-21,patient,PA,14,Pediatric emergency,Paediatric emergency
014-0068-D-A,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0069-H-I,2020-05-21,2020-05-21,physician,PE,14,Pediatric emergency,Paediatric emergency
014-0070-D-A,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
014-0071-G-S,2020-05-21,2020-05-21,visitor,V,14,Pediatric emergency,Paediatric emergency
