from,to,date_posix_first,length,ward_id,wardType,newID
008-0051-K-R,008-0060-F-E,2020-05-04T06:20:50Z,3110,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0015-D-M,2020-05-04T06:24:00Z,1080,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0054-T-L,2020-05-04T06:24:40Z,580,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0048-M-J,2020-05-04T06:25:20Z,30,8,Infectious Diseases,Infectious diseases #2
008-0024-A-C,008-0031-C-B,2020-05-04T06:26:20Z,70,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0007-F-V,2020-05-04T06:27:00Z,20,8,Infectious Diseases,Infectious diseases #2
008-0008-P-S,008-0019-J-G,2020-05-04T06:28:10Z,310,8,Infectious Diseases,Infectious diseases #2
008-0024-A-C,008-0031-C-B,2020-05-04T06:29:20Z,570,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0010-D-L,2020-05-04T06:29:30Z,1590,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0010-D-L,2020-05-04T06:32:10Z,2110,8,Infectious Diseases,Infectious diseases #2
008-0013-K-A,008-0017-B-C,2020-05-04T06:32:50Z,980,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0010-D-L,2020-05-04T06:33:00Z,2070,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0025-H-C,2020-05-04T06:33:10Z,200,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0010-D-L,2020-05-04T06:34:40Z,1280,8,Infectious Diseases,Infectious diseases #2
008-0008-P-S,008-0020-T-M,2020-05-04T06:34:50Z,170,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0020-T-M,2020-05-04T06:35:00Z,220,8,Infectious Diseases,Infectious diseases #2
008-0013-K-A,008-0054-T-L,2020-05-04T06:36:00Z,800,8,Infectious Diseases,Infectious diseases #2
008-0005-P-M,008-0060-F-E,2020-05-04T06:36:20Z,380,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0025-H-C,2020-05-04T06:37:00Z,310,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0021-T-F,2020-05-04T06:38:50Z,190,8,Infectious Diseases,Infectious diseases #2
008-0051-K-R,008-0060-F-E,2020-05-04T06:39:50Z,3310,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0031-C-B,2020-05-04T06:40:30Z,110,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T06:41:00Z,400,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T06:42:30Z,190,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0038-G-G,2020-05-04T06:44:40Z,380,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0054-T-L,2020-05-04T06:45:00Z,990,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0063-H-B,2020-05-04T06:45:00Z,340,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0063-H-B,2020-05-04T06:45:10Z,310,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0063-H-B,2020-05-04T06:45:10Z,320,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0063-H-B,2020-05-04T06:45:10Z,310,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0054-T-L,2020-05-04T06:45:20Z,970,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0009-L-V,2020-05-04T06:46:50Z,550,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T06:47:20Z,80,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T06:49:20Z,400,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0038-G-G,2020-05-04T06:49:40Z,90,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0054-T-L,2020-05-04T06:49:40Z,380,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0031-C-B,2020-05-04T06:50:00Z,230,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0006-O-L,2020-05-04T06:50:20Z,630,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0015-D-M,2020-05-04T06:51:40Z,550,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0063-H-B,2020-05-04T06:51:40Z,450,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0063-H-B,2020-05-04T06:51:50Z,170,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0063-H-B,2020-05-04T06:51:50Z,440,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0063-H-B,2020-05-04T06:51:50Z,440,8,Infectious Diseases,Infectious diseases #2
008-0054-T-L,008-0065-J-F,2020-05-04T06:52:20Z,50,8,Infectious Diseases,Infectious diseases #2
008-0018-G-S,008-0031-C-B,2020-05-04T06:54:00Z,40,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0020-T-M,2020-05-04T06:54:10Z,60,8,Infectious Diseases,Infectious diseases #2
008-0036-R-J,008-0048-M-J,2020-05-04T06:56:10Z,280,8,Infectious Diseases,Infectious diseases #2
008-0012-E-C,008-0017-B-C,2020-05-04T06:56:30Z,680,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0026-P-M,2020-05-04T06:57:10Z,10,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0038-G-G,2020-05-04T06:57:10Z,110,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0031-C-B,2020-05-04T06:59:50Z,70,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0006-O-L,2020-05-04T07:02:00Z,40,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0005-P-M,2020-05-04T07:02:00Z,430,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0009-L-V,2020-05-04T07:02:40Z,780,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0054-T-L,2020-05-04T07:02:50Z,600,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0065-J-F,2020-05-04T07:03:40Z,60,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0007-F-V,2020-05-04T07:03:50Z,320,8,Infectious Diseases,Infectious diseases #2
008-0015-D-M,008-0031-C-B,2020-05-04T07:04:20Z,860,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0008-P-S,2020-05-04T07:08:10Z,560,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0005-P-M,2020-05-04T07:10:20Z,420,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0012-E-C,2020-05-04T07:10:30Z,670,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0012-E-C,2020-05-04T07:10:30Z,660,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0063-H-B,2020-05-04T07:13:40Z,300,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0048-M-J,2020-05-04T07:14:50Z,30,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0022-L-G,2020-05-04T07:15:10Z,150,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0054-T-L,2020-05-04T07:16:00Z,330,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0015-D-M,2020-05-04T07:16:30Z,770,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0038-G-G,2020-05-04T07:17:00Z,130,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0031-C-B,2020-05-04T07:17:20Z,80,8,Infectious Diseases,Infectious diseases #2
008-0008-P-S,008-0011-L-D,2020-05-04T07:18:00Z,80,8,Infectious Diseases,Infectious diseases #2
008-0005-P-M,008-0006-O-L,2020-05-04T07:18:20Z,1160,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0009-L-V,2020-05-04T07:20:00Z,200,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0010-D-L,2020-05-04T07:20:00Z,1310,8,Infectious Diseases,Infectious diseases #2
008-0024-A-C,008-0048-M-J,2020-05-04T07:20:00Z,190,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0010-D-L,2020-05-04T07:20:10Z,1300,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0005-P-M,2020-05-04T07:20:30Z,190,8,Infectious Diseases,Infectious diseases #2
008-0008-P-S,008-0011-L-D,2020-05-04T07:20:50Z,200,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0007-F-V,2020-05-04T07:22:30Z,220,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0054-T-L,2020-05-04T07:23:50Z,130,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0054-T-L,2020-05-04T07:24:00Z,120,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T07:24:10Z,120,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0015-D-M,2020-05-04T07:24:10Z,110,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0009-L-V,2020-05-04T07:24:30Z,100,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0025-H-C,2020-05-04T07:24:50Z,860,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0025-H-C,2020-05-04T07:24:50Z,100,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0054-T-L,2020-05-04T07:24:50Z,90,8,Infectious Diseases,Infectious diseases #2
008-0005-P-M,008-0025-H-C,2020-05-04T07:24:50Z,870,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T07:25:10Z,510,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0048-M-J,2020-05-04T07:30:40Z,50,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0046-M-O,2020-05-04T07:31:20Z,90,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0063-H-B,2020-05-04T07:31:50Z,600,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0048-M-J,2020-05-04T07:32:20Z,170,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0063-H-B,2020-05-04T07:33:00Z,290,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T07:33:30Z,430,8,Infectious Diseases,Infectious diseases #2
008-0005-P-M,008-0065-J-F,2020-05-04T07:34:40Z,270,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0065-J-F,2020-05-04T07:34:40Z,470,8,Infectious Diseases,Infectious diseases #2
008-0046-M-O,008-0054-T-L,2020-05-04T07:36:10Z,110,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0031-C-B,2020-05-04T07:37:00Z,130,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0063-H-B,2020-05-04T07:37:00Z,50,8,Infectious Diseases,Infectious diseases #2
008-0052-C-H,008-0063-H-B,2020-05-04T07:37:00Z,260,8,Infectious Diseases,Infectious diseases #2
008-0049-D-S,008-0055-G-J,2020-05-04T07:37:00Z,40,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0031-C-B,2020-05-04T07:37:20Z,160,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0052-C-H,2020-05-04T07:37:20Z,240,8,Infectious Diseases,Infectious diseases #2
008-0052-C-H,008-0055-G-J,2020-05-04T07:37:30Z,80,8,Infectious Diseases,Infectious diseases #2
008-0005-P-M,008-0031-C-B,2020-05-04T07:37:40Z,390,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T07:38:10Z,200,8,Infectious Diseases,Infectious diseases #2
008-0044-D-L,008-0049-D-S,2020-05-04T07:38:10Z,220,8,Infectious Diseases,Infectious diseases #2
008-0011-L-D,008-0048-M-J,2020-05-04T07:38:30Z,50,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0007-F-V,2020-05-04T07:38:40Z,170,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0009-L-V,2020-05-04T07:39:00Z,240,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0063-H-B,2020-05-04T07:39:10Z,300,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0012-E-C,2020-05-04T07:40:00Z,880,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0055-G-J,2020-05-04T07:40:10Z,20,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0055-G-J,2020-05-04T07:40:10Z,20,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0044-D-L,2020-05-04T07:40:30Z,10,8,Infectious Diseases,Infectious diseases #2
008-0026-P-M,008-0047-B-C,2020-05-04T07:40:40Z,530,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0046-M-O,2020-05-04T07:41:20Z,180,8,Infectious Diseases,Infectious diseases #2
008-0052-C-H,008-0059-D-N,2020-05-04T07:41:30Z,80,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T07:42:00Z,230,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0017-B-C,2020-05-04T07:42:10Z,2580,8,Infectious Diseases,Infectious diseases #2
008-0038-G-G,008-0054-T-L,2020-05-04T07:42:10Z,1580,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0002-C-M,2020-05-04T07:42:10Z,110,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0046-M-O,2020-05-04T07:42:20Z,120,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0054-T-L,2020-05-04T07:42:20Z,1600,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0054-T-L,2020-05-04T07:42:20Z,1600,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0038-G-G,2020-05-04T07:42:20Z,860,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0009-L-V,2020-05-04T07:42:20Z,40,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0008-P-S,2020-05-04T07:42:40Z,250,8,Infectious Diseases,Infectious diseases #2
008-0052-C-H,008-0063-H-B,2020-05-04T07:42:50Z,210,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0017-B-C,2020-05-04T07:43:00Z,2530,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0065-J-F,2020-05-04T07:43:40Z,80,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0010-D-L,2020-05-04T07:44:20Z,1210,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0038-G-G,2020-05-04T07:45:30Z,670,8,Infectious Diseases,Infectious diseases #2
008-0004-G-L,008-0007-F-V,2020-05-04T07:46:10Z,140,8,Infectious Diseases,Infectious diseases #2
008-0017-B-C,008-0031-C-B,2020-05-04T07:46:20Z,2280,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0031-C-B,2020-05-04T07:46:30Z,2270,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0038-G-G,2020-05-04T07:46:30Z,2260,8,Infectious Diseases,Infectious diseases #2
008-0031-C-B,008-0054-T-L,2020-05-04T07:46:30Z,1470,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0010-D-L,2020-05-04T07:47:10Z,40,8,Infectious Diseases,Infectious diseases #2
008-0006-O-L,008-0025-H-C,2020-05-04T07:47:20Z,500,8,Infectious Diseases,Infectious diseases #2
008-0008-P-S,008-0019-J-G,2020-05-04T07:47:20Z,420,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0031-C-B,2020-05-04T07:47:20Z,600,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0054-T-L,2020-05-04T07:47:20Z,610,8,Infectious Diseases,Infectious diseases #2
008-0025-H-C,008-0065-J-F,2020-05-04T07:47:30Z,330,8,Infectious Diseases,Infectious diseases #2
008-0002-C-M,008-0009-L-V,2020-05-04T07:49:00Z,670,8,Infectious Diseases,Infectious diseases #2
008-0003-C-C,008-0004-G-L,2020-05-04T07:49:20Z,2310,8,Infectious Diseases,Infectious diseases #2
008-0009-L-V,008-0047-B-C,2020-05-04T07:49:40Z,10,8,Infectious Diseases,Infectious diseases #2
008-0039-T-H,008-0041-J-N,2020-05-04T07:50:00Z,620,8,Infectious Diseases,Infectious diseases #2
008-0039-T-H,008-0045-S-S,2020-05-04T07:50:00Z,260,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0041-J-N,2020-05-04T07:50:00Z,90,8,Infectious Diseases,Infectious diseases #2
008-0040-H-I,008-0041-J-N,2020-05-04T07:50:00Z,590,8,Infectious Diseases,Infectious diseases #2
008-0041-J-N,008-0043-S-H,2020-05-04T07:50:00Z,1190,8,Infectious Diseases,Infectious diseases #2
008-0043-S-H,008-0045-S-S,2020-05-04T07:50:00Z,230,8,Infectious Diseases,Infectious diseases #2
008-0039-T-H,008-0040-H-I,2020-05-04T07:50:00Z,170,8,Infectious Diseases,Infectious diseases #2
008-0039-T-H,008-0043-S-H,2020-05-04T07:50:00Z,450,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0043-S-H,2020-05-04T07:50:00Z,90,8,Infectious Diseases,Infectious diseases #2
008-0040-H-I,008-0043-S-H,2020-05-04T07:50:00Z,560,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0040-H-I,2020-05-04T07:50:10Z,90,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0045-S-S,2020-05-04T07:50:10Z,80,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0040-H-I,2020-05-04T07:50:10Z,90,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0045-S-S,2020-05-04T07:50:10Z,90,8,Infectious Diseases,Infectious diseases #2
008-0001-B-T,008-0043-S-H,2020-05-04T07:50:10Z,80,8,Infectious Diseases,Infectious diseases #2
008-0047-B-C,008-0048-M-J,2020-05-04T07:50:30Z,60,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0020-T-M,2020-05-04T07:50:50Z,50,8,Infectious Diseases,Infectious diseases #2
008-0039-T-H,008-0043-S-H,2020-05-04T07:51:40Z,460,8,Infectious Diseases,Infectious diseases #2
008-0010-D-L,008-0063-H-B,2020-05-04T07:51:50Z,530,8,Infectious Diseases,Infectious diseases #2
008-0040-H-I,008-0043-S-H,2020-05-04T07:52:10Z,520,8,Infectious Diseases,Infectious diseases #2
008-0007-F-V,008-0044-D-L,2020-05-04T07:52:40Z,150,8,Infectious Diseases,Infectious diseases #2
